identifier,description,Justification,Salutation,Closing,Self-reference,image,language,format,Script,Material,Business Type,Title,date,latitude,longitude,lat/long,spatial coverage,dcterms:creator,comment,SVG tags
20211023_203121.jpg,יש להקפיד על עטיית מסכות בכניסה לחנות,,,,חנות|אופטיקנה,,Hebrew,Printed,Square,paper|printer,חנות אופטיקה,"2021-10-23 - נווה זאב, באר שבע",23/10/2021,31.238905,34.773756,31.23890459/34.773756399999996,"מרכז מסחרי נווה זאב/שדרות יוהנה ז'בוטינסקי, יוהנה זבוטינסקי, נווה זאב, באר שבע, נפת באר שבע, מחוז הדרום, 8426306, ישראל",Kseniia Martin,dh.bgu.2022.1,
20211023_203202.jpg,הכניסה ללא מסכה אסורה,,,,,man_with_mask light brown white,Hebrew,Printed,Square,paper|printer,חנות פרחים,"2021-10-23 - נווה זאב, באר שבע",23/10/2021,31.238891,34.773654,31.23889069/34.77365355972222,"מרכז מסחרי נווה זאב/שדרות יוהנה ז'בוטינסקי, יוהנה זבוטינסקי, נווה זאב, באר שבע, נפת באר שבע, מחוז הדרום, 8426306, ישראל",Kseniia Martin,dh.bgu.2022.1,man_with_mask_light_brown_white.svg
20211023_203424.jpg,בעסק זה שומרים על הנחיות! ומונעים התפרצות מחודשת מרחק 2 מטר מאדם לאדם | מסכה המסכה את הפה והאף | היגיינה אישית חיטוי ידיים,בהתאם להנחיות,,שומרים על ההנחיות - שומרים על השגרה!,,man_with_mask pink | woman_with_mask pink | soap | distance,Hebrew,Printed,Square,paper|printer,סופרמרקט,"2021-10-23 - נווה זאב, באר שבע",23/10/2021,31.239234999999997,34.77366,31.239235449722223/34.77366031972222,"מרכז מסחרי נווה זאב/שדרות יוהנה ז'בוטינסקי, יוהנה זבוטינסקי, נווה זאב, באר שבע, נפת באר שבע, מחוז הדרום, 8426306, ישראל",Kseniia Martin,dh.bgu.2022.1,man_with_mask_pink.svg | woman_with_mask_pink.svg | soap.svg | distance.svg
20211025_3890.jpg,לא יינתן שירות ללא מסיכה,,,,גוני קריספי,,Hebrew,printed,Square,paper|printer,מסעדה,"2021-10-25 - שכונה ד', שכונה ד",25/10/2021,31.25909167,34.797175,31.259091666666666/34.797174999999996,"ג'וני קריספי, ראובן רובין, שכונה ד', שכונה ד, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,
20211025_3891.jpg,הכניסה רק עם מסיכת פנים,,,,friends,man_with_mask light brown blue | distance ,Hebrew,printed,Square,paper|printer,בר-מסעדה,"2021-10-25 - שכונה ד', שכונה ד",25/10/2021,31.25852778,34.79477778,31.25852777777778/34.794777777777774,"Robert's store, מצדה, שכונה ד', שכונה ד, באר שבע, נפת באר שבע, מחוז הדרום, 8434009, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,man_with_mask_light_brown_blue.svg | distance.svg
20211025_3892.jpg,עטיית מסיכה המכסה את האף והפה,התו הסגול,,"תודה על שיתוף הפעולה, רק בריאות!",ספידוג,,Hebrew,printed,Square,paper|printer,חנות חיות,"2021-10-25 - מצדה, שכונה ד",25/10/2021,31.25858056,34.79681389,31.258580555555554/34.796813888888884,"פז, 4, מצדה, שכונה ד, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,
20211025_3893.jpg,הכניסה לחנות עם מסכה בלבד,,,תודה!,מינימרקט פליקס,,Hebrew,hand written,cursive,paper|marker pen,מכולת,"2021-10-25 - שכונה ב', שכונה ב",25/10/2021,31.25847222,34.79439167,31.258472222222224/34.79439166666666,"דרך מצדה/יצחק אבינו, דרך מצדה, שכונה ב', שכונה ב, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,
20211108_4201.jpg,חובה לעטות מסכה,,,בתאבון,חומוס אליהו,man_with_mask | distance | soap ,Hebrew,printed,Square,paper|printer,מסעדה,"2021-11-08 - מצדה, שכונה ד",08/11/2021,31.25916944,34.79626111,31.259169444444446/34.79626111111111,"מרכז הנגב, 6, מצדה, שכונה ד, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,man_with_mask.svg | distance.svg | soap.svg
20211108_4205.jpg,הכניסה ללא מסכה אסורה,,,,קרנף,,Hebrew,printed,Square,paper|printer,קפיטריה באוניברסיטה,"2021-11-08 - רובע החדשנות באר שבע, שכונה ג",08/11/2021,31.26183611,34.80339444,31.261836111111112/34.80339444444444,"אוניברסיטת בן גוריון בנגב, פרופסור חיים חנני, רובע החדשנות באר שבע, שכונה ג, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,
20211108_4208.jpg,הכניסה לבית העסק מותרת רק עם מסכה,בהתאם להנחיות משרד הבריאות ,לקוחות יקרים,,zer4u,man_with_mask | distance | soap | temp_check,Hebrew,printed,Square,paper|printer,חנות פרחים,"2021-11-08 - שכונה ד', שכונה ד",08/11/2021,31.25891389,34.79670278,31.258913888888888/34.796702777777774,"סופר-פארם, ראובן רובין, שכונה ד', שכונה ד, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,man_with_mask.svg | distance.svg | soap.svg | temp_check.svg
